Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,95.49348340047226,95.5471493404404,93.8923835569595,94.57218170166016,1020900,0.0,0.0
2020-01-03 00:00:00-05:00,93.26625893009692,94.54534958921714,93.10525427285607,94.01761627197266,679100,0.0,0.0
2020-01-06 00:00:00-05:00,93.78505505678815,94.58113176611961,93.6687765661209,94.5274658203125,505200,0.0,0.0
2020-01-07 00:00:00-05:00,93.38255499116148,93.74928369337958,93.01581946468724,93.4451675415039,629400,0.0,0.0
2020-01-08 00:00:00-05:00,93.02477240367308,94.28597692055837,92.46125941219091,93.82979583740234,700900,0.0,0.0
2020-01-09 00:00:00-05:00,94.38434330501406,95.13570063393817,93.83872362381707,94.983642578125,652900,0.0,0.0
2020-01-10 00:00:00-05:00,95.02837852616936,95.64556428016395,94.5632576788119,95.57400512695312,671700,0.0,0.0
2020-01-13 00:00:00-05:00,95.5829919684825,96.19426312985662,95.475118166496,95.78974151611328,512500,0.53,0.0
2020-01-14 00:00:00-05:00,95.71782616010874,95.97850916231164,94.48629272094614,95.73580169677734,733500,0.0,0.0
2020-01-15 00:00:00-05:00,95.66390885427775,96.76959322801126,95.43019252997298,95.94258117675781,666400,0.0,0.0
2020-01-16 00:00:00-05:00,96.41901262055904,96.9134188718543,96.086406814277,96.28417205810547,495600,0.0,0.0
2020-01-17 00:00:00-05:00,96.12236150643052,96.27517760485152,95.03465956040799,96.23921966552734,1329000,0.0,0.0
2020-01-21 00:00:00-05:00,96.0324575264198,96.78755357863554,95.86165905153896,96.49090576171875,958400,0.0,0.0
2020-01-22 00:00:00-05:00,96.88643121886227,97.71344309793571,96.50888321210367,97.56961822509766,684500,0.0,0.0
2020-01-23 00:00:00-05:00,97.45275779805858,97.47073333488818,96.2931402117334,97.07520294189453,650000,0.0,0.0
2020-01-24 00:00:00-05:00,97.30892217302764,97.31791337021947,95.74478991707583,96.89541625976562,764700,0.0,0.0
2020-01-27 00:00:00-05:00,96.14932866843917,98.56744694696877,95.9605546298653,98.4056396484375,1517000,0.0,0.0
2020-01-28 00:00:00-05:00,98.54945249263692,99.77199485237067,97.92919697270534,99.61917877197266,999900,0.0,0.0
2020-01-29 00:00:00-05:00,99.51131122086048,100.3293388642996,99.1157876266355,99.48434448242188,1505300,0.0,0.0
2020-01-30 00:00:00-05:00,101.3361290324865,101.47995390725868,98.48652283140109,100.6799087524414,1454800,0.0,0.0
2020-01-31 00:00:00-05:00,100.23944745007917,100.94061008258396,98.79217304882171,99.48434448242188,1060300,0.0,0.0
2020-02-03 00:00:00-05:00,99.95177118261597,100.61697574715488,98.92699417352733,100.52708435058594,731400,0.0,0.0
2020-02-04 00:00:00-05:00,101.03948662136678,101.57884193253945,99.93380240392916,100.01470947265625,1006700,0.0,0.0
2020-02-05 00:00:00-05:00,100.43720195821922,101.57883719936777,100.23044555512837,100.66193389892578,1064700,0.0,0.0
2020-02-06 00:00:00-05:00,101.21026693504271,101.57883058577683,99.87086657595408,100.40123748779297,660700,0.0,0.0
2020-02-07 00:00:00-05:00,100.53608239383226,100.8866705473066,100.04167621617208,100.18550109863281,471500,0.0,0.0
2020-02-10 00:00:00-05:00,100.05067648062048,100.3652998691456,99.57423893996759,100.33833312988281,677600,0.0,0.0
2020-02-11 00:00:00-05:00,100.76082181602263,101.56087393120396,100.27540680073562,100.99454498291016,840600,0.0,0.0
2020-02-12 00:00:00-05:00,101.14734384551821,101.5069163044932,99.71805206539223,99.91581726074219,1466500,0.0,0.0
2020-02-13 00:00:00-05:00,99.6281701029573,101.34511864125434,99.43939608722464,100.82374572753906,953500,0.0,0.0
2020-02-14 00:00:00-05:00,100.93161167557393,101.44400024414062,100.41922310700724,101.44400024414062,670800,0.0,0.0
2020-02-18 00:00:00-05:00,101.30017964194293,101.44400452884396,100.22146212794732,101.21028137207031,903500,0.0,0.0
2020-02-19 00:00:00-05:00,101.57883423957603,102.45079524143434,101.31814437295941,102.01032257080078,840500,0.0,0.0
2020-02-20 00:00:00-05:00,101.6417615905138,101.86649353060587,100.88666556377619,101.43500518798828,520500,0.0,0.0
2020-02-21 00:00:00-05:00,101.43498896906502,102.10020034333142,100.86866703956373,101.71366119384766,970600,0.0,0.0
2020-02-24 00:00:00-05:00,100.50912686382445,101.67773588363961,100.18551226936103,100.98555755615234,956500,0.0,0.0
2020-02-25 00:00:00-05:00,101.3361261850916,101.47995105582251,98.85508372594605,99.24162292480469,913800,0.0,0.0
2020-02-26 00:00:00-05:00,99.86188258983121,100.50911168098807,98.81912994384766,98.81912994384766,1092900,0.0,0.0
2020-02-27 00:00:00-05:00,98.00109984202432,101.80356722488597,97.76738356604397,99.75401306152344,2098300,0.0,0.0
2020-02-28 00:00:00-05:00,98.23481932775844,98.25280172264254,93.14689204115136,95.34027099609375,2707500,0.0,0.0
2020-03-02 00:00:00-05:00,96.16730360162899,100.86869237694421,95.72682402087639,100.77880096435547,1841300,0.0,0.0
2020-03-03 00:00:00-05:00,100.94061508579661,101.54289513502889,96.56283372769231,97.66851806640625,1605000,0.0,0.0
2020-03-04 00:00:00-05:00,99.22365194747107,103.81717373248078,99.22365194747107,103.80818939208984,2082500,0.0,0.0
2020-03-05 00:00:00-05:00,106.34316175583889,106.59486044315996,102.5766520695384,103.98796844482422,3936000,0.0,0.0
2020-03-06 00:00:00-05:00,105.03072304725002,105.03072304725002,97.73143354854119,100.69789123535156,3035100,0.0,0.0
2020-03-09 00:00:00-04:00,98.01908970766493,100.67991521536369,96.46394157107235,98.73822784423828,3186600,0.0,0.0
2020-03-10 00:00:00-04:00,101.5788424843502,101.77660769978532,92.364832435991,95.59197998046875,3290800,0.0,0.0
2020-03-11 00:00:00-04:00,94.01885287570072,94.01885287570072,87.2139698802231,89.65007019042969,3101100,0.0,0.0
2020-03-12 00:00:00-04:00,84.18458830759369,84.49921166020548,79.15957843085947,81.27206420898438,2801600,0.0,0.0
2020-03-13 00:00:00-04:00,87.01620851763501,92.18504305484957,81.17317817121854,86.9892349243164,3270100,0.0,0.0
2020-03-16 00:00:00-04:00,79.73489979843778,81.86536133194842,74.84473682027128,77.65837860107422,3671800,0.0,0.0
2020-03-17 00:00:00-04:00,79.66299395982809,80.5798974116143,72.02210671459885,77.49657440185547,3264400,0.0,0.0
2020-03-18 00:00:00-04:00,73.53228527675311,74.59302018909706,67.12292667641324,69.63093566894531,2452400,0.0,0.0
2020-03-19 00:00:00-04:00,69.06463828247271,75.86952281014872,66.04423972393694,71.29397583007812,2658600,0.0,0.0
2020-03-20 00:00:00-04:00,72.84910630890701,73.51431092930555,66.04422345727095,67.63532257080078,2637200,0.0,0.0
2020-03-23 00:00:00-04:00,66.57458939311704,72.67830986073496,65.81050214946546,67.5454330444336,2662300,0.0,0.0
